name,category,equipment,Séries,Repetições,Carga,Intervalo (seg),description
Barra Fixa com Pegada Supinada,Costas,Peso Corporal,,,,,Foca mais no bíceps e na parte inferior das costas
Pulldown (Puxada) na Polia,Costas,Máquina (Polia),,,,,"Puxar até o peito, mantendo os ombros retraídos"
Pulldown com Pegada Fechada,Costas,Máquina (Polia),,,,,Trabalha a porção interna das costas
Remada Curvada com Barra,Costas,Barra,,,,,Manter leve inclinação e coluna reta
Remada Curvada com Pegada Invertida,Costas,Barra,,,,,Foca na parte inferior das costas
Remada Unilateral com Halteres,Costas,Halteres,,,,,Controlar o movimento e evitar rotação do tronco
Remada Cavalinho (T-Bar),Costas,Barra (T-Bar),,,,,"Manter postura reta, puxar até o peito"
Remada Sentada na Máquina,Costas,Máquina,,,,,"Puxar até o abdômen, mantendo os ombros alinhados"
Remada Alta com Barra,Costas,Barra,,,,,Trabalha trapézio e ombros
Remada Alta com Corda,Costas,Corda (Polia),,,,,Variedade de remada alta com foco nos trapézios
Remada Serrote,Costas,Halter,,,,,"Mão livre apoiada, foco na amplitude do movimento"
Levantamento Terra,Costas,Barra,,,,,Manter coluna neutra e cuidado com cargas altas
Levantamento Terra Romeno,Costas,Barra,,,,,Foca mais no lombar e isquiotibiais
Pullover com Barra,Costas,Barra ou Halteres,,,,,Trabalha dorsal e peito; movimento controlado
Encolhimento com Barra,Costas,Barra,,,,,Movimento curto para ativar trapézios
Encolhimento com Halteres,Costas,Halteres,,,,,Alternativa ao encolhimento com barra
Superman,Costas,Peso Corporal,,,,,Fortalece lombar e estabilizadores
Hiperextensão Lombar,Costas,Banco de Hiperextensão,,,,,Foco no controle do movimento
Face Pull (Puxada Alta),Costas,Corda (Polia),,,,,"Puxar até a linha do rosto, foco em trapézios e deltoides"
Remada Unilateral na Polia,Costas,Polia,,,,,Alternativa para isolar cada lado das costas
Remada no Cabo com Pegada Cruzada,Costas,Polia,,,,,Trabalha amplitude e controle
Remada com Pegada Triângulo,Costas,Polia com Triângulo,,,,,Enfoque na parte central das costas
Kroc Row (Remada Pesada Unilateral),Costas,Halter,,,,,Variedade de remada com foco em força e amplitude
Face Pull com Bandas Elásticas,Costas,Bandas Elásticas,,,,,Alternativa de face pull para estabilidade
Desenvolvimento com Barra,Ombros,Barra,,,,,Foco em deltóides anterior e medial; manter controle
Desenvolvimento com Halteres,Ombros,Halteres,,,,,Realizar sentado para maior estabilidade
Desenvolvimento Arnold,Ombros,Halteres,,,,,Rotação dos punhos para maior amplitude de movimento
Elevação Lateral com Halteres,Ombros,Halteres,,,,,"Manter cotovelos levemente dobrados, foco na porção medial"
Elevação Frontal com Halteres,Ombros,Halteres,,,,,Alternar braços para maior controle
Elevação Frontal com Barra,Ombros,Barra,,,,,Alternativa para trabalhar deltóides anteriores
Elevação Lateral com Cabo,Ombros,Cabo,,,,,Alternativa para manter tensão constante
Elevação Frontal com Cabo,Ombros,Cabo,,,,,Evita balanço e mantém o controle no deltóide anterior
Elevação Posterior com Halteres,Ombros,Halteres,,,,,Foco nos deltóides posteriores; realizar inclinado
Crucifixo Invertido na Máquina,Ombros,Máquina,,,,,Alternativa controlada para deltóide posterior
Remada Alta com Barra,Ombros,Barra,,,,,Foca na porção superior do trapézio e ombros
Remada Alta com Halteres,Ombros,Halteres,,,,,"Maior liberdade de movimento, foca na porção medial"
Face Pull,Ombros,Corda (Polia),,,,,Puxar até o rosto; foca deltóides posteriores e trapézio
Encolhimento com Barra,Ombros,Barra,,,,,"Movimento curto, trabalha trapézios"
Encolhimento com Halteres,Ombros,Halteres,,,,,Alternativa para trapézios com maior amplitude
Elevação Lateral Unilateral,Ombros,Cabo,,,,,"Isola cada lado, mantendo a tensão"
Desenvolvimento no Smith,Ombros,Máquina (Smith),,,,,Alternativa mais segura para deltóides anterior e medial
Elevação Lateral no Smith,Ombros,Máquina (Smith),,,,,"Controle do movimento, foco na estabilidade"
Desenvolvimento Militar,Ombros,Barra,,,,,"Em pé, foca estabilizadores do tronco e ombro"
Desenvolvimento Unilateral,Ombros,Halter,,,,,Realizar com um braço de cada vez para trabalhar estabilização
Elevação 90 Graus,Ombros,Halteres,,,,,Foco na porção medial e posterior do deltóide
Elevação Y,Ombros,Halteres,,,,,Trabalha deltóides posteriores e estabilizadores
Elevação em L (Lateral + Frontal),Ombros,Halteres,,,,,Combinação que ativa a porção medial e anterior
Prancha de Ombro (Shoulder Tap),Ombros,Peso Corporal,,,,,Fortalece os estabilizadores e melhora o controle
Elevação Lateral com Faixa Elástica,Ombros,Faixa Elástica,,,,,Alternativa para resistência constante
Desenvolvimento com Faixa Elástica,Ombros,Faixa Elástica,,,,,"Controle do movimento, excelente para resistência"
Agachamento Livre,Pernas,Barra,,,,,"Foco em quadríceps, glúteos e lombar; manter coluna neutra"
Agachamento Frontal,Pernas,Barra,,,,,Mais ênfase no quadríceps; segurar a barra à frente do corpo
Agachamento no Smith,Pernas,Máquina (Smith),,,,,Alternativa para maior controle do movimento
Leg Press,Pernas,Máquina,,,,,"Mantém o foco nos quadríceps, evitando hiperextensão dos joelhos"
Hack Squat,Pernas,Máquina (Hack),,,,,Alternativa ao agachamento; foca quadríceps e glúteos
Afundo com Halteres,Pernas,Halteres,,,,,Foco em glúteos e quadríceps; cuidado com equilíbrio
Afundo com Barra,Pernas,Barra,,,,,Alternativa com barra para maior carga
Cadeira Extensora,Pernas,Máquina,,,,,Isola quadríceps; controle no movimento para proteger o joelho
Cadeira Flexora,Pernas,Máquina,,,,,Isola isquiotibiais; movimento controlado
Flexão Nórdica,Pernas,Peso Corporal,,,,,Foco nos isquiotibiais e controle do corpo
Flexão de Perna em Pé,Pernas,Máquina,,,,,Alternativa unilateral para isquiotibiais
Stiff com Barra,Pernas,Barra,,,,,Foco em isquiotibiais e glúteos; manter coluna neutra
Stiff com Halteres,Pernas,Halteres,,,,,Variedade com halteres para mais mobilidade
Levantamento Terra Romeno,Pernas,Barra,,,,,Trabalha isquiotibiais e glúteos
Cadeira Adutora,Pernas,Máquina,,,,,Foco na parte interna das coxas
Cadeira Abdutora,Pernas,Máquina,,,,,Foco na parte externa das coxas e glúteos
Glúteo na Polia,Pernas,Polia,,,,,Trabalho isolado para os glúteos
Ponte de Glúteo,Pernas,Peso Corporal/Barra,,,,,Foco nos glúteos e estabilidade do core
Ponte de Glúteo com Barra,Pernas,Barra,,,,,Adiciona resistência ao movimento da ponte
Elevação de Panturrilha em Pé,Pernas,Máquina,,,,,Foco nas panturrilhas; movimento completo
Elevação de Panturrilha Sentado,Pernas,Máquina,,,,,Variedade para foco no sóleo (músculo profundo da panturrilha)
Passada com Halteres,Pernas,Halteres,,,,,"Trabalha equilíbrio e controle, envolvendo toda a perna"
Passada no Smith,Pernas,Máquina (Smith),,,,,"Controle no movimento, menor risco de desequilíbrio"
Agachamento Búlgaro,Pernas,Halteres,,,,,Grande ênfase em quadríceps e glúteos; perna apoiada atrás
Agachamento Sumô,Pernas,Barra ou Halteres,,,,,"Foco em adutores e glúteos, com postura mais ampla"
Peso Morto Convencional,Pernas,Barra,,,,,Envolve toda a cadeia posterior (isquiotibiais e glúteos)
Peso Morto Sumo,Pernas,Barra,,,,,Maior ativação dos glúteos e adutores
Rosca Direta com Barra,Bíceps,Barra,,,,,Foco nas duas cabeças; cuidado com a postura
Rosca Alternada com Halteres,Bíceps,Halteres,,,,,Trabalha cada braço isoladamente para evitar desequilíbrios
Rosca Concentrada,Bíceps,Halter,,,,,Isolamento do bíceps; ideal para definição
Rosca Martelo,Bíceps,Halteres,,,,,Foco no braquiorradial e na resistência
Rosca Inversa,Bíceps,Barra,,,,,Trabalha bíceps braquial e antebraço
Rosca Scott,Bíceps,Máquina ou Barra Scott,,,,,Controle do movimento; menor risco de roubo
Rosca no Cabo,Bíceps,Polia,,,,,Tensão constante ao longo do movimento
Rosca no Banco Inclinado,Bíceps,Halteres,,,,,"Amplitude aumentada, alonga o bíceps"
Rosca Concentrada no Cabo,Bíceps,Polia,,,,,"Alternativa ao halter, mantendo tensão constante"
Rosca 21,Bíceps,Barra,,,,,Conjunto de 7 repetições em 3 amplitudes; ótima para fadiga
Rosca Spider (Invertida),Bíceps,Banco Inclinado,,,,,Variante que foca na cabeça curta do bíceps
Rosca Isométrica,Bíceps,Halter ou Barra,,,,,Manter posição fixa para fortalecer bíceps e resistência
Rosca Concentrada Sentado,Bíceps,Halter,,,,,Isola o bíceps; foco na execução lenta
Rosca Cruzada no Cabo,Bíceps,Polia (cross),,,,,"Trabalho em ângulo, foco nas duas cabeças do bíceps"
Rosca Alternada no Cabo Baixo,Bíceps,Polia,,,,,Tensão constante e controle unilateral
Chin-up (Pull-up Supinado),Bíceps,Barra Fixa,,,Peso corporal,,Exercício composto; trabalha bíceps e dorsais
Rosca com Faixa Elástica,Bíceps,Faixa Elástica,,,,,Alternativa para resistência constante
Rosca com Corda,Bíceps,Corda (Polia),,,,,Trabalha o bíceps com amplitude máxima
Supino Fechado,Tríceps,Barra,,,,,Foco na cabeça medial; cuidado com o alinhamento dos cotovelos
Tríceps Francês,Tríceps,Barra ou Halteres,,,,,Trabalha a cabeça longa; manter controle na descida
Tríceps Coice (Kickback),Tríceps,Halteres,,,,,Enfase na cabeça lateral; excelente para isolamento
Tríceps Pulley com Barra,Tríceps,Polia,,,,,Controle total na descida e subida
Tríceps Pulley com Corda,Tríceps,Polia com Corda,,,,,Permite maior amplitude; trabalha a cabeça lateral
Mergulho (Dips),Tríceps,Barra Paralela ou Banco,,,Peso corporal ou com carga,,Foco nas três cabeças; cuidado com os ombros
Extensão de Tríceps Unilateral,Tríceps,Halter,,,,,Alternativa para maior isolamento de cada braço
Tríceps Testa com Barra (Skull Crusher),Tríceps,Barra,,,,,Foco na cabeça longa; evite movimento brusco
Extensão de Tríceps no Cabo,Tríceps,Polia,,,,,Tensão constante durante o movimento
Tríceps no Banco,Tríceps,Banco,,,Peso corporal ou com peso,,Ótimo para treinos de resistência e controle corporal
Tríceps Máquina,Tríceps,Máquina,,,,,Trabalha todas as cabeças com suporte
Extensão de Tríceps com Halteres,Tríceps,Halteres,,,,,Alternativa versátil para treinos de tríceps
Tríceps Supinado no Cabo,Tríceps,Polia,,,,,Excelente para isolar a cabeça lateral
Extensão de Tríceps Acima da Cabeça,Tríceps,Corda ou Halter,,,,,Foco na cabeça longa; atenção ao controle
Kickback no Cabo,Tríceps,Polia,,,,,Alternativa ao halter para manter tensão constante
Tríceps Invertido na Polia,Tríceps,Polia,,,,,Movimento de rotação para maior ativação da cabeça medial
Abdominal Supra (Crunch),Abdomen,Peso corporal,,15-20 repetições,,,Foco na parte superior; manter lombar no chão
Abdominal Infra,Abdomen,Peso corporal,,15-20 repetições,,,Foco na parte inferior; evite curvar a lombar
Abdominal Completo,Abdomen,Peso corporal,,15-20 repetições,,,Trabalha toda a região abdominal
Prancha Frontal,Abdomen,Peso corporal,,30-60 segundos,,,Foco no core; manter alinhamento da coluna
Prancha Lateral,Abdomen,Peso corporal,,20-30 segundos (cada lado),,,Trabalha oblíquos e core lateral; corpo em linha reta
Abdominal Bicicleta,Abdomen,Peso corporal,,20 repetições,,,Trabalha oblíquos e coordenação
Elevação de Pernas,Abdomen,Peso corporal,,15-20 repetições,,,Foco na parte inferior do abdômen; mantenha controle
Abdominal Invertido,Abdomen,Peso corporal,,15-20 repetições,,,Enfase na parte inferior; evite balanço
Abdominal Oblíquo (Russian Twist),Abdomen,Halter ou Peso Corporal,,20 repetições,,,Rotação do tronco; fortalece oblíquos
Abdominal na Corda (Pulley Crunch),Abdomen,Polia,,15-20 repetições,,,Abdominal com resistência; foco na parte superior
Prancha com Elevação Alternada,Abdomen,Peso corporal,,20 repetições (10 cada lado),,,Variante da prancha; ativa os estabilizadores
Abdominal V (V-Up),Abdomen,Peso corporal,,15 repetições,,,Coordenação de pernas e tronco; fortalecimento do core
Roll Out com Roda,Abdomen,Roda para abdominal,,10-15 repetições,,,Trabalha o core profundo; controle ao voltar
Abdominal Canivete,Abdomen,Peso corporal,,15 repetições,,,Movimento intenso para toda a musculatura abdominal
Abdominal Declinado,Abdomen,Banco Declinado,,15-20 repetições,,,Amplitude aumentada; cuidado para não sobrecarregar a lombar
Prancha com Peso,Abdomen,Disco ou halteres,,30-60 segundos,,,Variante da prancha; aumenta a resistência
Prancha com Rotação de Quadril,Abdomen,Peso corporal,,20 repetições,,,Trabalha oblíquos e estabilidade
Rosca Inversa (Reverse Curl),Antebraço,Barra ou Halteres,,12-15 repetições,,,Foco nos extensores do antebraço; mantenha os cotovelos fixos
Rosca de Punho (Wrist Curl),Antebraço,Barra ou Halteres,,15-20 repetições,,,Trabalha os flexores do antebraço; não movimente os braços
Rosca de Punho Inversa (Reverse Wrist Curl),Antebraço,Barra ou Halteres,,15-20 repetições,,,Foco nos extensores; evite movimentos bruscos
Pronação e Supinação com Halteres,Antebraço,Halteres,,12-15 repetições (cada lado),,,Trabalha a rotação do antebraço (pronador e supinador)
Rolamento de Pulley (Cable Roll),Antebraço,Polia (com cabo ou corda),,12-15 repetições,,,Excelente para resistência da pegada; rotação no cabo
Rosca Zottman,Antebraço,Halteres,,10-12 repetições,,,"Combina flexão e extensão, recrutando todos os músculos do antebraço"
Aperto de Mão (Grip Strength),Antebraço,Equipamento específico (Hand Gripper),,20-30 repetições,30-60 segundos,,Fortalece a pegada; pode ser feito com equipamentos ou manualmente
Extensão de Pulso no Banco,Antebraço,Barra ou Halteres,,12-15 repetições,,,Executado com o antebraço apoiado; foca nos músculos extensores
Rosca Martelo (Hammer Curl),Antebraço,Halteres,,12-15 repetições,,,Trabalha o braquiorradial e antebraço; mantenha a postura neutra
Flexão de Punho com Barra,Antebraço,Barra ou Halteres,,15-20 repetições,,,Foca no fortalecimento dos músculos flexores
Pronação no Banco (Pronation Curl),Antebraço,Halteres,,12-15 repetições,,,"Trabalha os músculos pronadores, importante para melhorar a pegada"
Extensão de Pulso com Polia,Antebraço,Polia,,12-15 repetições,,,Alternativa ao uso de barra ou halteres para os extensores
Rosca de Punho com Corda (Cable Wrist Curl),Antebraço,Polia com Corda,,15-20 repetições,,,"Isolamento dos flexores, tensão constante durante o movimento"
Flexão de Punho com Barra (Barbell Wrist Curl),Antebraço,Barra,,15-20 repetições,,,Foca no aumento de força dos flexores do antebraço
Rosca Inversa com Barra (Reverse Barbell Curl),Antebraço,Barra,,12-15 repetições,,,Excelente para os extensores; controle da barra é essencia
Elevação de Calcanhar em Pé (Standing Calf Raise),Panturrilha,Máquina ou Peso Corporal,,12-20 repetições,60-90 segundos,,Foco na parte superior da panturrilha; manter o movimento controlado
Elevação de Calcanhar Sentado (Seated Calf Raise),Panturrilha,Máquina ou Halteres,,12-20 repetições,60-90 segundos,,Foco no músculo soléus; mantenha a postura do tronco alinhada
Elevação de Calcanhar com Barra,Panturrilha,Barra,,12-15 repetições,60-90 segundos,,Foca tanto no gastrocnêmio quanto no soléus; atenção ao controle de peso
Elevação de Calcanhar na Leg Press,Panturrilha,Leg Press,,12-20 repetições,60-90 segundos,,Pode ser feito com os pés virados para fora ou para dentro para variar o estímulo
Elevação de Calcanhar em Pé com Halteres,Panturrilha,Halteres,,15-20 repetições,60-90 segundos,,"Pode ser feito alternado ou simultâneo, bom para treino unilateral"
Elevação de Calcanhar Unilateral,Panturrilha,Peso Corporal ou Haltere,,12-15 repetições (cada perna),60-90 segundos,,"Foco em uma perna de cada vez, ajuda no equilíbrio e força muscular"
Elevação de Calcanhar em Pé no Smith,Panturrilha,Smith Machine,,12-20 repetições,60-90 segundos,,Excelente para quem busca mais estabilidade ao fazer o movimento
Elevação de Calcanhar com Pés Paralelos (Sitting Calf Raise),Panturrilha,Máquina Sentada ou Halteres,,15-20 repetições,60-90 segundos,,Foco no soléus; pode ser feito com os pés em posição neutra
Elevação de Calcanhar com Pés para Fora,Panturrilha,Peso Corporal ou Barra,,12-20 repetições,60-90 segundos,,Estimula a parte externa da panturrilha
Elevação de Calcanhar com Pés para Dentro,Panturrilha,Peso Corporal ou Barra,,12-20 repetições,60-90 segundos,,Foca na parte interna da panturrilha
Pular Corda,Panturrilha,Corda,,1-3 minutos,60 segundos,,Excelente para resistência e explosão nas panturrilhas
Step com Elevação de Calcanhar,Panturrilha,Caixa ou Step,,12-20 repetições,60-90 segundos,,"Elevação de calcanhar em cada degrau, importante para resistência"
Flexão Plantar com Barra (Barbell Calf Raise),Panturrilha,Barra,,12-15 repetições,60-90 segundos,,Foco em força e estabilidade com carga mais pesada
Flexão Plantar com Máquina (Machine Calf Raise),Panturrilha,Máquina de Panturrilha,,12-15 repetições,60-90 segundos,,A máquina permite uma maior carga e estabilidade ao executar o exercício
Elevação de Calcanhar com Halteres em Plataforma,Panturrilha,Halteres e Plataforma,,12-20 repetições,60-90 segundos,,Amplia a amplitude do movimento e intensifica o trabalho muscular
Flexão de Panturrilha no Smith,Panturrilha,Smith Machine,,12-20 repetições,60-90 segundos,,Auxilia no controle da movimentação e no aumento de carga
